Date,Team,Season,points_allowed,target,RegLog,ArbolDecision,RandomForest,XGB,LGB,MLP,NeuralNet
2023-01-07,CIN,2023,14,1,0.9988230462,1.0,0.9036290323,0.9990498424,0.9999947369,0.9998149517,0.9183055162
2023-09-10,CLE,2023,3,1,0.9996309615,1.0,0.7816901408,0.9984369874,0.9999885067,0.9997931286,0.9183073044
2023-09-18,CLE,2023,26,0,0.040385736,0.0,0.1067355481,0.0143887242,0.0115396994,0.0133361778,0.065202944
2023-09-24,CLE,2023,3,1,0.9999824337,1.0,0.9958836351,0.9996650219,0.9999999596,0.9999468887,0.9520085454
2023-10-01,CLE,2023,28,0,7.03408e-05,0.0,0.0083333333,0.0084352354,0.0015823015,0.0005662839,0.0590600409
2023-10-15,CLE,2023,17,1,0.4573785563,0.8571428571,0.3992550978,0.467661649,0.7413488202,0.3593038707,0.1855292022
2023-10-22,CLE,2023,38,1,0.0024012821,0.0,0.2390162602,0.0128437625,0.0024189099,0.0091366529,0.0642874464
2023-10-29,CLE,2023,24,0,0.6318835234,0.0,0.1454564787,0.3921391666,0.6661314181,0.3969427234,0.4418380857
2023-11-05,CLE,2023,0,1,0.9999982414,1.0,0.9763818033,0.9993655086,0.9999994081,0.9999719843,0.920475781
2023-11-12,CLE,2023,31,1,0.0185030484,0.0,0.0397990279,0.0139659438,0.0078705914,0.00853424,0.0648127571
2023-11-19,CLE,2023,10,1,0.8979399511,1.0,0.7853165145,0.9920101166,0.9990573384,0.9549434369,0.9092009664
2023-11-26,CLE,2023,29,0,0.0012828518,0.0,0.0035087719,0.0007622424,7.61837e-05,0.0030751706,0.0642895401
2023-12-03,CLE,2023,36,0,0.0025894265,0.0,0.2137059935,0.0117923366,0.010194167,0.0013684557,0.0642949492
2023-12-10,CLE,2023,27,1,0.7471428122,0.0,0.4372983203,0.8567193747,0.957877296,0.9756378961,0.8069463372
2023-12-17,CLE,2023,17,1,0.4520920403,1.0,0.2616076123,0.8037434816,0.8297956547,0.7274417662,0.3253645599
2023-12-24,CLE,2023,22,1,0.9946583792,1.0,0.8840178571,0.9653459191,0.9966962878,0.9967254981,0.951992631
2023-12-28,CLE,2023,20,1,0.9983816851,1.0,0.9995305164,0.9975633621,0.9998375307,0.9990167307,0.9520089626
2023-01-07,CLE,2023,31,0,0.0021754874,0.0,0.003169718,0.0037408771,0.0012359283,0.0011953574,0.0642851219
2023-01-13,CLE,2023,45,0,1.03707e-05,0.0,0.1243054051,0.0020714446,1.19778e-05,4.17059e-05,0.0642843395
2023-09-10,DAL,2023,0,1,0.9999918035,1.0,0.8827811448,0.9986017346,0.9999994725,0.9999540529,0.9194023013
2023-09-17,DAL,2023,10,1,0.9981766736,1.0,0.9753408649,0.9983584285,0.9999725344,0.9989258238,0.9183070064
2023-09-24,DAL,2023,28,0,0.0156681955,0.0,0.1164366325,0.0159054883,0.0063821895,0.003321321,0.0646956116
